cycle_number,channel_number,marker_name
1,1,DNA1
1,2,488_BG_1
1,3,555_BG_1
1,4,647_BG_1
2,5,DNA2
2,6,488_BG_2
2,7,555_BG_2
2,8,647_BG_2
3,9,DNA3
3,10,488_BG_3
3,11,LAG3
3,12,ARL13B
4,13,DNA4
4,14,KI67
4,15,KERATIN
4,16,PD-1
5,17,DNA5
5,18,CD45RB
5,19,CD3D
5,20,PD-L1
6,21,DNA6
6,22,CD4
6,23,CD45
6,24,CD8A
7,25,DNA7
7,26,CD163
7,27,CD68
7,28,CD14
8,29,DNA8
8,30,CD11B
8,31,FOXP3
8,32,CD21
9,33,DNA9
9,34,IBA1
9,35,ASMA
9,36,CD20
10,37,DNA10
10,38,CD19
10,39,GFAP
10,40,G-TUBULIN
11,41,DNA11
11,42,LAMIN_A/C
11,43,BANF1
11,44,LAMIN_B
